Task ID,Task Name,Task Object Name,Task Type,Task Run ID,Project Name,Folder Name,Org ID,Environment ID,Environment,Cores Used,Start Time,End Time,Status,Metered Value,Audit Time,OBM Task Time(s)
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,2,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.513394642143143,2024-05-09 03:35:39.0,2024-05-09 03:38:40.0,SUCCESS,0.050278,2024-05-09 04:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,5,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 08:44:22.0,2024-05-09 08:44:42.0,SUCCESS,0.005556,2024-05-09 09:11:27.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,4,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 08:42:56.0,2024-05-09 08:43:43.0,SUCCESS,0.013056,2024-05-09 09:11:27.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,15,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 10:00:19.0,2024-05-09 10:00:56.0,SUCCESS,0.010278,2024-05-09 10:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,9,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 09:46:29.0,2024-05-09 09:47:02.0,SUCCESS,0.009167,2024-05-09 10:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,10,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 09:49:26.0,2024-05-09 09:49:48.0,ERROR,0.006111,2024-05-09 10:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,17,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 10:06:34.0,2024-05-09 10:07:06.0,SUCCESS,0.008889,2024-05-09 10:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,12,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 09:50:28.0,2024-05-09 09:50:43.0,SUCCESS,0.004167,2024-05-09 10:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,8,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 09:44:45.0,2024-05-09 09:45:30.0,ERROR,0.0125,2024-05-09 10:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,16,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 10:01:07.0,2024-05-09 10:01:23.0,SUCCESS,0.004444,2024-05-09 10:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,6,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 09:37:49.0,2024-05-09 09:38:46.0,SUCCESS,0.015833,2024-05-09 10:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,11,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 09:49:56.0,2024-05-09 09:50:09.0,SUCCESS,0.003611,2024-05-09 10:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,13,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 09:53:33.0,2024-05-09 09:54:07.0,SUCCESS,0.009444,2024-05-09 10:11:26.0,0
000QML0Z0000000001K3,MCT_Dynamic_Src_Tgt - Copy 1,null,MTT,14,Test_DMT,Dynamic_New,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2024-05-09 09:54:17.0,2024-05-09 09:54:31.0,SUCCESS,0.003889,2024-05-09 10:11:26.0,0
